ethernetInput ethernetOutput mobileInput mobileOutput wifiInput wifiOutput sumInput sumOutput
0.0 0.0 0.80505859375 28.5595214844 1.58606445313 66.2798828125 2.39112304688 94.8394042969 
0.0 0.0 0.66609375 27.4751660156 1.52469726562 66.2806738281 2.19079101562 93.7558398438 
0.0 0.0 0.549814453125 24.9081445312 1.33040039062 66.2679492188 1.88021484375 91.17609375 
WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown WifiDown 
0.0 0.0 0.556279296875 25.0140527344 1.3165625 66.2909765625 1.87284179687 91.3050292969 
0.0 0.0 0.65271484375 26.6512988281 0.251044921875 10.5134179687 0.903759765625 37.1647167969 
0.0 0.0 0.611025390625 24.9908691406 0.0 0.0 0.611025390625 24.9908691406 
0.0 0.0 0.523779296875 21.5131738281 0.0 0.0 0.523779296875 21.5131738281 
0.0 0.0 0.54302734375 22.2199316406 0.0003125 0.0 0.54333984375 22.2199316406 
0.0 0.0 0.571396484375 23.3808300781 0.0 0.0 0.571396484375 23.3808300781 
0.0 0.0 0.64068359375 26.2159960938 0.0 0.0 0.64068359375 26.2159960938 
WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp 
0.0 0.0 0.59181640625 24.1703808594 0.0 0.0 0.59181640625 24.1703808594 
0.0 0.0 0.590048828125 24.868125 0.52337890625 27.3962011719 1.11342773438 52.2643261719 
0.0 0.0 0.588388671875 25.63390625 1.3131640625 66.2755566406 1.90155273438 91.9094628906 
0.0 0.0 0.6125 26.1437109375 1.41234375 66.2811132813 2.02484375 92.4248242188 
0.0 0.0 0.668701171875 27.9284570313 1.46982421875 66.2806933594 2.13852539062 94.2091503906 
0.0 0.0 0.653076171875 27.4808105469 1.4454296875 66.1729296875 2.09850585937 93.6537402344 
0.0 0.0 0.558974609375 26.0213183594 1.211640625 66.3806738281 1.77061523438 92.4019921875 
EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp 
