ethernetInput ethernetOutput wifiInput wifiOutput mobileInput mobileOutput sumInput sumOutput
0.0 0.0 0.0 0.0 0.56443359375 20.1236621094 0.56443359375 20.1236621094 
WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp WifiUp 
0.0 0.0 0.0 0.0 0.51919921875 21.3836425781 0.51919921875 21.3836425781 
0.0 0.0 0.633837890625 29.41078125 0.621376953125 25.9456835938 1.25521484375 55.3564648438 
0.0 0.0 1.45947265625 66.2803222656 0.62283203125 26.4549023437 2.0823046875 92.7352246094 
0.0 0.0 1.57188476562 66.2772167969 0.687978515625 28.6016308594 2.25986328125 94.8788476563 
0.0 0.0 1.56875 66.2902832031 0.688603515625 28.0924609375 2.25735351563 94.3827441406 
0.0 0.0 1.5692578125 66.273828125 0.66759765625 27.6751367188 2.23685546875 93.9489648437 
0.0 0.0 1.56748046875 66.2815234375 0.74521484375 28.0242675781 2.3126953125 94.3057910156 
EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp EthernetUp 
0.0 0.00068359375 1.53588867188 66.2673046875 0.680947265625 28.3006152344 2.2168359375 94.5686035156 
0.64275390625 42.5958886719 1.12017578125 66.2997265625 0.57361328125 28.2882519531 2.33654296875 137.183867187 
1.2423046875 88.2800488281 0.871982421875 66.25546875 0.624169921875 28.37140625 2.73845703125 182.906923828 
1.33848632812 87.4740527344 0.949482421875 66.2909082031 0.6118359375 28.2461035156 2.8998046875 182.011064453 
1.36327148438 88.1338769531 0.827548828125 66.2926757812 0.520830078125 28.3472851562 2.71165039063 182.773837891 
1.25818359375 87.4922363281 0.8846875 66.2753808594 0.56779296875 28.247890625 2.7106640625 182.015507813 
2.056484375 86.2125195312 1.51592773437 64.1998535156 0.4869140625 19.616796875 4.05932617188 170.029169922 
2.17861328125 90.5884179687 1.444140625 60.7649609375 0.33123046875 13.3767871094 3.953984375 164.730166016 
1.72399414062 90.6450195312 1.2156640625 66.2788671875 0.437275390625 19.6842089844 3.37693359375 176.608095703 
1.29426757812 88.8391601563 0.890048828125 66.2728515625 0.53328125 28.174140625 2.71759765625 183.286152344 
1.32212890625 88.0908886719 0.97474609375 66.2850292969 0.5502734375 28.3740429688 2.8471484375 182.749960937 
1.31927734375 87.1149414062 0.96908203125 66.278203125 0.512177734375 27.0421289062 2.80053710938 180.435273438 
2.16564453125 91.3488964844 1.500546875 63.4662402344 0.210390625 8.56520507813 3.87658203125 163.380341797 
2.14469726563 91.0184375 1.48268554687 62.2204296875 0.354609375 14.0470019531 3.9819921875 167.285869141 
2.11655273437 90.9712304687 1.48056640625 64.3706542969 0.236494140625 9.91893554687 3.83361328125 165.260820312 
2.02165039063 87.238203125 1.39173828125 63.2123828125 0.312705078125 13.6314257812 3.72609375 164.082011719 
1.5346875 88.2291992187 1.18807617187 64.5317675781 0.4556640625 23.8601953125 3.17842773437 176.621162109 
1.38157226563 81.8071386719 1.15791015625 66.2868847656 0.535146484375 27.3612890625 3.07462890625 175.4553125 
1.47315429687 77.2798730469 1.10655273437 66.2688574219 0.53666015625 27.4508984375 3.1163671875 170.999628906 
1.86688476563 85.2562792969 1.353046875 65.5060644531 0.42373046875 18.8862304688 3.64366210938 169.648574219 
2.14323242188 91.9658007812 1.50182617187 63.1955566406 0.196796875 8.4651953125 3.84185546875 163.626552734 
2.1490234375 90.9779394531 1.53614257812 63.689140625 0.27267578125 10.7358496094 3.95784179687 165.402929688 
1.45720703125 89.8046582031 1.01690429687 65.0641210938 0.361396484375 20.5551171875 2.8355078125 175.423896484 
1.18888671875 88.2302734375 0.817392578125 66.2806347656 0.459716796875 28.3787011719 2.46599609375 182.889609375 
1.55865234375 87.3844335938 1.02397460937 66.2901660156 0.565 28.3592871094 3.14762695312 182.033886719 
1.1446875 87.1077148438 0.92087890625 66.2698339844 0.4879296875 28.1201171875 2.55349609375 181.497666016 
EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest 
