ethernetInput ethernetOutput wifiInput wifiOutput mobileInput mobileOutput sumInput sumOutput
1.40813476563 67.9379785156 1.10407226562 66.2868457031 0.472626953125 26.1185058594 2.98483398438 160.343330078 
1.20405273438 57.521171875 0.907392578125 57.7195019531 0.360166015625 21.719296875 2.47161132812 136.959970703 
1.4683984375 73.7593554688 1.14465820313 66.28671875 0.60189453125 26.7760449219 3.21495117188 166.822119141 
1.30759765625 76.311015625 1.02456054688 66.2851855469 0.471103515625 27.2135546875 2.80326171875 169.809755859 
1.2230078125 63.9867285156 1.0695703125 66.2594433594 0.51201171875 25.4976855469 2.80458984375 155.743857422 
1.57884765625 74.5091992187 1.22651367188 59.914140625 0.348916015625 16.23875 3.15427734375 150.662089844 
1.80877929688 80.6672363281 1.28001953125 58.006796875 0.067666015625 3.2855078125 3.15646484375 141.959541016 
2.07247070313 88.2987109375 1.34866210937 57.9175488281 0.0 0.0 3.4211328125 146.216259766 
1.83921875 82.1846679688 1.33381835937 60.0952636719 0.0 0.0 3.17303710937 142.279931641 
2.18428710938 88.1023828125 1.44098632812 59.0246582031 0.17103515625 3.60102539062 3.79630859375 150.728066406 
2.03502929687 88.1857226562 1.39561523437 60.0872949219 0.166533203125 6.7620703125 3.59717773437 155.035087891 
2.1415234375 89.0956445313 1.4403515625 61.2385839844 0.12982421875 5.10748046875 3.71169921875 155.441708984 
2.07896484375 90.0222460937 1.28344726562 54.9875292969 0.12630859375 5.24922851563 3.48872070313 150.259003906 
1.960078125 86.5919140625 1.33923828125 57.7980761719 0.16923828125 7.1945703125 3.4685546875 151.584560547 
1.79921875 74.2285351563 1.50119140625 63.4692675781 0.421630859375 16.266484375 3.72204101562 153.964287109 
1.91751953125 85.1750292969 1.25060546875 60.6214257812 0.286875 13.5553515625 3.455 159.351806641 
1.83380859375 83.3709863281 1.23862304687 56.7107421875 0.094248046875 3.99515625 3.1666796875 144.076884766 
2.12037109375 90.4108203125 1.4969140625 63.1191601562 0.31240234375 12.8287304688 3.9296875 166.358710937 
1.86364257812 88.300859375 1.39645507813 64.1747753906 0.416220703125 15.82328125 3.67631835938 168.298916016 
1.87901367187 90.7550683594 1.21194335937 60.3302539063 0.1287890625 7.66805664063 3.21974609375 158.753378906 
2.16842773437 91.4007617188 1.52952148438 64.8565625 0.452353515625 18.2646191406 4.15030273437 174.521943359 
2.12919921875 89.6849707031 1.42458984375 60.0530175781 0.31044921875 12.8467675781 3.86423828125 162.584755859 
EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest EndOfTheTest 
